family	occ	service	nearest_concepts	insurers	proposed_verdict	proposed_slug	slug_status	proposed_category	cat_status	modifiers	is_a	note	RULING
abortion	25	Abortion		PacificSource Health Plans, Blue Cross NC, unknown, Community Health Choice +6 more	N2	abortion	NEW	family_planning	NEW-cat	pos: surgical->outpatient_facility, drug->rx		state-varied; sensitive; surgical vs medication	
rx-role	14	Non-preferred brand drugs	preferred_brand_rx_tier2, non_preferred_rx_tier3	Community Health Choice, WellSense Health Plan, unknown, BlueCross BlueShield of South Carolina +2 more	synonym	non_preferred_brand_rx	NEW	rx	exists			tier# -> plan_tier_label modifier (D1)	
medical-foods	7	Non-Prescription Enteral Formulas and Low Protein Food		WellSense Health Plan, unknown	N1	medical_foods	NEW	therapy	exists			enteral/metabolic formulas	
office-visit	3	Other Practitioner Office Visit	pcp_visit, specialist_visit, telehealth_pcp	Anthem Blue Cross, Priority Health	synonym	specialist_visit	EXISTS	office_visit	exists			NP/PA -> office visit (or new other_practitioner_visit)	
office-visit	2	Other practitioner office visit (nurse practitioners, physician assistants, therapists, podiatrists)	pcp_visit, specialist_visit, telehealth_pcp	Blue Shield of California	synonym	specialist_visit	EXISTS	office_visit	exists			NP/PA -> office visit (or new other_practitioner_visit)	
rx-indication	2	Drugs on Tier 1 prescribed for sexual dysfunction disorders		Kaiser Permanente	is_a+indication	(rx role per tier)		rx	exists	indication=sexual_dysfunction	rx role slug	ED drugs: role slug + indication	
rx-indication	2	Drugs on Tier 2 and Tier 4 prescribed for sexual dysfunction disorders		Kaiser Permanente	is_a+indication	(rx role per tier)		rx	exists	indication=sexual_dysfunction	rx role slug	ED drugs: role slug + indication	
family-planning	2	Family planning counseling		Kaiser Permanente	N2	family_planning_counseling	NEW	family_planning	NEW-cat			counseling/education leg	
family-planning	2	All other sterilization procedures for Members assigned female at birth		Kaiser Permanente	N1	sterilization	NEW	family_planning	NEW-cat	place_of_service, component		female/male; outpatient/ASC/OR	
family-planning	2	All other sterilization procedures for Members assigned male at birth		Kaiser Permanente	N1	sterilization	NEW	family_planning	NEW-cat	place_of_service, component		female/male; outpatient/ASC/OR	
abortion	2	Surgical abortion		Kaiser Permanente	N2	abortion	NEW	family_planning	NEW-cat	pos: surgical->outpatient_facility, drug->rx		state-varied; sensitive; surgical vs medication	
abortion	2	Other abortion-related Services		Kaiser Permanente	N2	abortion	NEW	family_planning	NEW-cat	pos: surgical->outpatient_facility, drug->rx		state-varied; sensitive; surgical vs medication	
peer	2	Plan Doula services - Support during labor and delivery		Kaiser Permanente	N1	doula_services	NEW	preventive	exists			labor/delivery support	
office-visit	2	Physician home visit		Blue Shield of California	synonym	pcp_visit	EXISTS	office_visit	exists	place_of_service=home		home visit = visit + pos=home	
family-planning	2	Family planning — Counseling, consulting, and education		Blue Shield of California	N2	family_planning_counseling	NEW	family_planning	NEW-cat			counseling/education leg	
family-planning	2	Family planning — Injectable contraceptive, diaphragm fitting, IUD, implantable contraceptive, and related procedure		Blue Shield of California	N1	contraceptives	NEW	family_planning	NEW-cat			drugs/devices/IUD	
family-planning	2	Family planning — Tubal ligation		Blue Shield of California	N1	sterilization	NEW	family_planning	NEW-cat	place_of_service, component		female/male; outpatient/ASC/OR	
family-planning	2	Family planning — Vasectomy		Blue Shield of California	N1	vasectomy	NEW	family_planning	NEW-cat		is_a sterilization?		
abortion	2	Abortion and abortion-related services		Blue Shield of California	N2	abortion	NEW	family_planning	NEW-cat	pos: surgical->outpatient_facility, drug->rx		state-varied; sensitive; surgical vs medication	
transplant	2	Transplant services — Special transplant facility inpatient services		Blue Shield of California	N1	transplant	NEW	surgery	NEW-cat	component facility/professional		facility-inpatient vs physician-inpatient	
transplant	2	Transplant services — Physician inpatient services		Blue Shield of California	N1	transplant	NEW	surgery	NEW-cat	component facility/professional		facility-inpatient vs physician-inpatient	
dialysis	2	Dialysis services		Blue Shield of California	N2	dialysis	NEW	dialysis	NEW-cat	pos: home/independent_facility		home vs in-center + supplies	
medical-foods	2	PKU product formulas and special food products		Blue Shield of California	N1	medical_foods	NEW	therapy	exists			enteral/metabolic formulas	
peer	2	Allergy serum billed separately from an office visit		Blue Shield of California	N1	allergy_injection	NEW	therapy	exists			serum billed separately from visit	
peer	2	COVID-19 — Coverage for tests and therapeutics		Anthem Blue Cross	N1	covid_services	NEW	preventive	exists			tests + therapeutics	
review	2	Other Eligible Providers		Anthem Blue Cross	REVIEW							vague — your call	
peer	2	Diabetes Outpatient self-management education services		Anthem Blue Cross	N1	diabetes_education	NEW	therapy	exists			DSME	
abortion	2	Abortion / Outpatient abortion services		Anthem Blue Cross	N2	abortion	NEW	family_planning	NEW-cat	pos: surgical->outpatient_facility, drug->rx		state-varied; sensitive; surgical vs medication	
