description_pattern,code,code_type,target_slug,source_label,basis
"OFFICE OUTPATIENT NEW 10 MIN",99202,CPT,pcp_visit,"CMS HCPCS 2024 + AMA CPT E&M","E&M new patient office visit"
"OFFICE OUTPATIENT NEW 20 MIN",99203,CPT,pcp_visit,"CMS HCPCS 2024 + AMA CPT E&M","E&M new patient office visit"
"OFFICE OUTPATIENT NEW 30 MIN",99204,CPT,pcp_visit,"CMS HCPCS 2024 + AMA CPT E&M","E&M new patient office visit"
"OFFICE OUTPATIENT NEW 45 MIN",99205,CPT,pcp_visit,"CMS HCPCS 2024 + AMA CPT E&M","E&M new patient office visit"
"OFFICE OUTPATIENT EST MINIMAL",99211,CPT,pcp_visit,"CMS HCPCS 2024 + AMA CPT E&M","E&M established patient office visit"
"OFFICE OUTPATIENT EST 10 MIN",99212,CPT,pcp_visit,"CMS HCPCS 2024 + AMA CPT E&M","E&M established patient office visit"
"OFFICE OUTPATIENT EST 20 MIN",99213,CPT,pcp_visit,"CMS HCPCS 2024 + AMA CPT E&M","E&M established patient office visit"
"OFFICE OUTPATIENT EST 30 MIN",99214,CPT,pcp_visit,"CMS HCPCS 2024 + AMA CPT E&M","E&M established patient office visit"
"OFFICE OUTPATIENT EST 40 MIN",99215,CPT,pcp_visit,"CMS HCPCS 2024 + AMA CPT E&M","E&M established patient office visit"
"PREVENTIVE NEW INFANT UNDER 1",99381,CPT,well_child_visit,"USPSTF + CMS","preventive E&M new patient under 1"
"PREVENTIVE NEW AGE 1 TO 4",99382,CPT,well_child_visit,"USPSTF + CMS","preventive E&M new patient age 1-4"
"PREVENTIVE NEW AGE 5 TO 11",99383,CPT,well_child_visit,"USPSTF + CMS","preventive E&M new patient age 5-11"
"PREVENTIVE NEW AGE 12 TO 17",99384,CPT,well_child_visit,"USPSTF + CMS","preventive E&M new patient adolescent"
"PREVENTIVE NEW AGE 18 TO 39",99385,CPT,annual_physical,"USPSTF + CMS","preventive E&M new patient adult"
"PREVENTIVE NEW AGE 40 TO 64",99386,CPT,annual_physical,"USPSTF + CMS","preventive E&M new patient adult"
"PREVENTIVE NEW AGE 65 PLUS",99387,CPT,annual_physical,"USPSTF + CMS","preventive E&M new patient senior"
"PREVENTIVE EST AGE 1 TO 4",99392,CPT,well_child_visit,"USPSTF + CMS","preventive E&M established age 1-4"
"PREVENTIVE EST AGE 5 TO 11",99393,CPT,well_child_visit,"USPSTF + CMS","preventive E&M established age 5-11"
"PREVENTIVE EST AGE 12 TO 17",99394,CPT,well_child_visit,"USPSTF + CMS","preventive E&M established adolescent"
"PREVENTIVE EST AGE 18 TO 39",99395,CPT,annual_physical,"USPSTF + CMS","preventive E&M established adult"
"PREVENTIVE EST AGE 40 TO 64",99396,CPT,annual_physical,"USPSTF + CMS","preventive E&M established adult"
"PREVENTIVE EST AGE 65 PLUS",99397,CPT,annual_physical,"USPSTF + CMS","preventive E&M established senior"
"BASIC METABOLIC PANEL",80048,CPT,lab_pcp_office,"CMS HCPCS 2024","clinical chemistry panel"
"COMPREHENSIVE METABOLIC PANEL",80053,CPT,lab_pcp_office,"CMS HCPCS 2024","clinical chemistry panel"
"LIPID PANEL",80061,CPT,lab_pcp_office,"USPSTF screening + CMS","lipid screening panel"
"CBC WITH DIFFERENTIAL",85025,CPT,lab_pcp_office,"CMS HCPCS 2024","complete blood count"
"TSH ASSAY",84443,CPT,lab_pcp_office,"CMS HCPCS 2024","thyroid stimulating hormone"
"HEMOGLOBIN A1C",83036,CPT,lab_pcp_office,"USPSTF diabetes screening","diabetes monitoring"
"URINALYSIS",81001,CPT,lab_pcp_office,"CMS HCPCS 2024","routine urinalysis"
"URINE CULTURE",87086,CPT,lab_pcp_office,"CMS HCPCS 2024","urine bacteria culture"
"VITAMIN D 25 HYDROXY",82306,CPT,lab_pcp_office,"CMS HCPCS 2024","vitamin D screening"
"MRI BRAIN WITHOUT CONTRAST",70551,CPT,advanced_imaging,"CMS HCPCS 2024","MRI brain"
"MRI LUMBAR SPINE NO CONTRAST",72148,CPT,advanced_imaging,"CMS HCPCS 2024","MRI lumbar spine"
"MRI KNEE WITHOUT CONTRAST",73721,CPT,advanced_imaging,"CMS HCPCS 2024","MRI joint"
